hour,minute,in_sum,in_median,in_std,out_sum,out_median,out_std
16,9,1192.0,1192.0,,1139.0,1139.0,
16,10,1112.0,1112.0,,1105.0,1105.0,
16,11,1146.0,1146.0,,1116.0,1116.0,
16,12,1138.0,1138.0,,1146.0,1146.0,
16,13,1088.0,1088.0,,1123.0,1123.0,
16,14,1118.0,1118.0,,1129.0,1129.0,
16,15,1152.0,1152.0,,1148.0,1148.0,
16,16,1100.0,1100.0,,1212.0,1212.0,
16,17,1120.0,1120.0,,1132.0,1132.0,
16,18,1163.0,1163.0,,1191.0,1191.0,
16,19,1123.0,1123.0,,1116.0,1116.0,
16,20,1133.0,1133.0,,1154.0,1154.0,
16,21,1170.0,1170.0,,1135.0,1135.0,
16,22,1116.0,1116.0,,1193.0,1193.0,
16,23,1176.0,1176.0,,1129.0,1129.0,
16,24,1143.0,1143.0,,1123.0,1123.0,
16,25,1126.0,1126.0,,1133.0,1133.0,
16,26,1134.0,1134.0,,1151.0,1151.0,
16,27,1118.0,1118.0,,1143.0,1143.0,
16,28,1125.0,1125.0,,1130.0,1130.0,
16,29,1126.0,1126.0,,1140.0,1140.0,
16,30,1132.0,1132.0,,1159.0,1159.0,
16,31,1122.0,1122.0,,1184.0,1184.0,
16,32,1109.0,1109.0,,1144.0,1144.0,
16,33,1107.0,1107.0,,1158.0,1158.0,
16,34,1123.0,1123.0,,1086.0,1086.0,
16,35,1055.0,1055.0,,1095.0,1095.0,
16,36,1167.0,1167.0,,1177.0,1177.0,
16,37,1095.0,1095.0,,1164.0,1164.0,
16,38,1104.0,1104.0,,1124.0,1124.0,
16,39,1109.0,1109.0,,1103.0,1103.0,
16,40,1137.0,1137.0,,1128.0,1128.0,
16,41,1090.0,1090.0,,1116.0,1116.0,
16,42,1124.0,1124.0,,1079.0,1079.0,
16,43,1102.0,1102.0,,1103.0,1103.0,
16,44,1125.0,1125.0,,1118.0,1118.0,
16,45,1118.0,1118.0,,1130.0,1130.0,
16,46,1108.0,1108.0,,1094.0,1094.0,
16,47,1113.0,1113.0,,1091.0,1091.0,
16,48,1138.0,1138.0,,1134.0,1134.0,
16,49,1147.0,1147.0,,1096.0,1096.0,
16,50,1106.0,1106.0,,1086.0,1086.0,
16,51,1120.0,1120.0,,1080.0,1080.0,
16,52,1128.0,1128.0,,1119.0,1119.0,
16,53,1096.0,1096.0,,1075.0,1075.0,
16,54,1121.0,1121.0,,1106.0,1106.0,
16,55,1090.0,1090.0,,1107.0,1107.0,
16,56,1162.0,1162.0,,1131.0,1131.0,
16,57,1080.0,1080.0,,1098.0,1098.0,
16,58,1143.0,1143.0,,1098.0,1098.0,
16,59,1092.0,1092.0,,1081.0,1081.0,
17,0,207.0,207.0,,171.0,171.0,
17,1,182.0,182.0,,172.0,172.0,
17,2,166.0,166.0,,150.0,150.0,
17,3,140.0,140.0,,165.0,165.0,
17,4,166.0,166.0,,145.0,145.0,
17,5,162.0,162.0,,173.0,173.0,
17,6,151.0,151.0,,156.0,156.0,
17,7,171.0,171.0,,159.0,159.0,
17,8,163.0,163.0,,142.0,142.0,
17,9,143.0,143.0,,150.0,150.0,
17,10,155.0,155.0,,164.0,164.0,
17,11,162.0,162.0,,161.0,161.0,
17,12,166.0,166.0,,130.0,130.0,
17,13,176.0,176.0,,153.0,153.0,
17,14,172.0,172.0,,141.0,141.0,
17,15,154.0,154.0,,144.0,144.0,
17,16,147.0,147.0,,172.0,172.0,
17,17,146.0,146.0,,176.0,176.0,
17,18,146.0,146.0,,155.0,155.0,
17,19,157.0,157.0,,142.0,142.0,
17,20,138.0,138.0,,154.0,154.0,
17,21,168.0,168.0,,145.0,145.0,
17,22,152.0,152.0,,151.0,151.0,
17,23,160.0,160.0,,148.0,148.0,
17,24,144.0,144.0,,170.0,170.0,
17,25,166.0,166.0,,148.0,148.0,
17,26,164.0,164.0,,145.0,145.0,
17,27,158.0,158.0,,184.0,184.0,
17,28,160.0,160.0,,160.0,160.0,
17,29,151.0,151.0,,178.0,178.0,
17,30,150.0,150.0,,157.0,157.0,
17,31,172.0,172.0,,156.0,156.0,
17,32,144.0,144.0,,131.0,131.0,
17,33,179.0,179.0,,145.0,145.0,
17,34,164.0,164.0,,160.0,160.0,
17,35,166.0,166.0,,153.0,153.0,
17,36,137.0,137.0,,157.0,157.0,
17,37,163.0,163.0,,149.0,149.0,
17,38,153.0,153.0,,178.0,178.0,
17,39,152.0,152.0,,146.0,146.0,
17,40,161.0,161.0,,173.0,173.0,
17,41,161.0,161.0,,153.0,153.0,
17,42,158.0,158.0,,159.0,159.0,
17,43,167.0,167.0,,150.0,150.0,
17,44,174.0,174.0,,146.0,146.0,
17,45,164.0,164.0,,153.0,153.0,
17,46,179.0,179.0,,148.0,148.0,
17,47,157.0,157.0,,166.0,166.0,
17,48,167.0,167.0,,171.0,171.0,
17,49,170.0,170.0,,162.0,162.0,
17,50,141.0,141.0,,158.0,158.0,
17,51,184.0,184.0,,156.0,156.0,
17,52,175.0,175.0,,172.0,172.0,
17,53,141.0,141.0,,167.0,167.0,
17,54,165.0,165.0,,154.0,154.0,
17,55,185.0,185.0,,161.0,161.0,
17,56,160.0,160.0,,177.0,177.0,
17,57,175.0,175.0,,149.0,149.0,
17,58,161.0,161.0,,161.0,161.0,
17,59,163.0,163.0,,149.0,149.0,
18,0,1.0,1.0,,3.0,3.0,
